Entity_0:  -> created,  at 0
Entity_3:replaced -> PositionComponent, fields[ x - 54.66541 y - 37.17181 ] at 500.0231
Entity_4:replaced -> PositionComponent, fields[ x - 40.06153 y - 3.774094 ] at 500.0231
Entity_5:replaced -> PositionComponent, fields[ x - 57.23758 y - 14.18685 ] at 500.0231
Entity_6:replaced -> PositionComponent, fields[ x - 48.80418 y - 36.17359 ] at 500.0231
Entity_7:replaced -> PositionComponent, fields[ x - 41.68762 y - -14.22491 ] at 500.0231
Entity_8:replaced -> PositionComponent, fields[ x - 52.95139 y - 35.10654 ] at 500.0231
Entity_9:replaced -> PositionComponent, fields[ x - 53.16383 y - 14.55006 ] at 500.0231
Entity_2:replaced -> PositionComponent, fields[ x - 35.03883 y - -12.77165 ] at 515.6493
Entity_3:replaced -> PositionComponent, fields[ x - 54.44313 y - 37.17181 ] at 515.6493
Entity_4:replaced -> PositionComponent, fields[ x - 39.19464 y - 3.774094 ] at 515.6493
Entity_5:replaced -> PositionComponent, fields[ x - 57.11201 y - 14.18685 ] at 515.6493
Entity_6:replaced -> PositionComponent, fields[ x - 48.27104 y - 36.17359 ] at 515.6493
Entity_7:replaced -> PositionComponent, fields[ x - 40.772 y - -14.22491 ] at 515.6493
Entity_8:replaced -> PositionComponent, fields[ x - 52.58041 y - 35.10654 ] at 515.6493
Entity_9:replaced -> PositionComponent, fields[ x - 52.78404 y - 14.55006 ] at 515.6493
Entity_2:replaced -> PositionComponent, fields[ x - 34.07879 y - -12.77165 ] at 531.2746
Entity_3:replaced -> PositionComponent, fields[ x - 54.22086 y - 37.17181 ] at 531.2746
Entity_4:replaced -> PositionComponent, fields[ x - 38.32775 y - 3.774094 ] at 531.2746
Entity_5:replaced -> PositionComponent, fields[ x - 56.98645 y - 14.18685 ] at 531.2746
Entity_6:replaced -> PositionComponent, fields[ x - 47.73791 y - 36.17359 ] at 531.2746
Entity_7:replaced -> PositionComponent, fields[ x - 39.85638 y - -14.22491 ] at 531.2746
Entity_8:replaced -> PositionComponent, fields[ x - 52.20943 y - 35.10654 ] at 531.2746
Entity_9:replaced -> PositionComponent, fields[ x - 52.40425 y - 14.55006 ] at 531.2746
Entity_2:replaced -> PositionComponent, fields[ x - 33.11874 y - -12.77165 ] at 546.9043
Entity_3:replaced -> PositionComponent, fields[ x - 53.99858 y - 37.17181 ] at 546.9043
Entity_4:replaced -> PositionComponent, fields[ x - 37.46086 y - 3.774094 ] at 546.9043
Entity_5:replaced -> PositionComponent, fields[ x - 56.86089 y - 14.18685 ] at 546.9043
Entity_6:replaced -> PositionComponent, fields[ x - 47.20477 y - 36.17359 ] at 546.9043
Entity_7:replaced -> PositionComponent, fields[ x - 38.94077 y - -14.22491 ] at 546.9043
Entity_8:replaced -> PositionComponent, fields[ x - 51.83846 y - 35.10654 ] at 546.9043
Entity_9:replaced -> PositionComponent, fields[ x - 52.02446 y - 14.55006 ] at 546.9043
Entity_2:replaced -> PositionComponent, fields[ x - 32.1587 y - -12.77165 ] at 562.5262
Entity_3:replaced -> PositionComponent, fields[ x - 53.77631 y - 37.17181 ] at 562.5262
Entity_4:replaced -> PositionComponent, fields[ x - 36.59397 y - 3.774094 ] at 562.5262
Entity_5:replaced -> PositionComponent, fields[ x - 56.73532 y - 14.18685 ] at 562.5262
Entity_6:replaced -> PositionComponent, fields[ x - 46.67164 y - 36.17359 ] at 562.5262
Entity_7:replaced -> PositionComponent, fields[ x - 38.02515 y - -14.22491 ] at 562.5262
Entity_8:replaced -> PositionComponent, fields[ x - 51.46748 y - 35.10654 ] at 562.5262
Entity_9:replaced -> PositionComponent, fields[ x - 51.64468 y - 14.55006 ] at 562.5262
Entity_2:replaced -> PositionComponent, fields[ x - 31.19865 y - -12.77165 ] at 578.1519
Entity_3:replaced -> PositionComponent, fields[ x - 53.55403 y - 37.17181 ] at 578.1519
Entity_4:replaced -> PositionComponent, fields[ x - 35.72708 y - 3.774094 ] at 578.1519
Entity_5:replaced -> PositionComponent, fields[ x - 56.60976 y - 14.18685 ] at 578.1519
Entity_6:replaced -> PositionComponent, fields[ x - 46.1385 y - 36.17359 ] at 578.1519
Entity_7:replaced -> PositionComponent, fields[ x - 37.10953 y - -14.22491 ] at 578.1519
Entity_8:replaced -> PositionComponent, fields[ x - 51.0965 y - 35.10654 ] at 578.1519
Entity_9:replaced -> PositionComponent, fields[ x - 51.26489 y - 14.55006 ] at 578.1519
Entity_2:replaced -> PositionComponent, fields[ x - 30.23861 y - -12.77165 ] at 593.7777
Entity_3:replaced -> PositionComponent, fields[ x - 53.33176 y - 37.17181 ] at 593.7777
Entity_4:replaced -> PositionComponent, fields[ x - 34.86019 y - 3.774094 ] at 593.7777
Entity_5:replaced -> PositionComponent, fields[ x - 56.48419 y - 14.18685 ] at 593.7777
Entity_6:replaced -> PositionComponent, fields[ x - 45.60537 y - 36.17359 ] at 593.7777
Entity_7:replaced -> PositionComponent, fields[ x - 36.19391 y - -14.22491 ] at 593.7777
Entity_8:replaced -> PositionComponent, fields[ x - 50.72552 y - 35.10654 ] at 593.7777
Entity_9:replaced -> PositionComponent, fields[ x - 50.8851 y - 14.55006 ] at 594.7061
Entity_2:replaced -> PositionComponent, fields[ x - 29.27856 y - -12.77165 ] at 616.3799
Entity_3:replaced -> PositionComponent, fields[ x - 53.10948 y - 37.17181 ] at 616.3799
Entity_4:replaced -> PositionComponent, fields[ x - 33.9933 y - 3.774094 ] at 616.3799
Entity_5:replaced -> PositionComponent, fields[ x - 56.35863 y - 14.18685 ] at 616.3799
Entity_6:replaced -> PositionComponent, fields[ x - 45.07224 y - 36.17359 ] at 616.3799
Entity_7:replaced -> PositionComponent, fields[ x - 35.27829 y - -14.22491 ] at 616.3799
Entity_8:replaced -> PositionComponent, fields[ x - 50.35454 y - 35.10654 ] at 616.3799
Entity_9:replaced -> PositionComponent, fields[ x - 50.50531 y - 14.55006 ] at 616.3799
Entity_2:replaced -> PositionComponent, fields[ x - 28.31852 y - -12.77165 ] at 632.0048
Entity_3:replaced -> PositionComponent, fields[ x - 52.88721 y - 37.17181 ] at 632.0048
Entity_4:replaced -> PositionComponent, fields[ x - 33.12641 y - 3.774094 ] at 632.0048
Entity_5:replaced -> PositionComponent, fields[ x - 56.23306 y - 14.18685 ] at 632.0048
Entity_6:replaced -> PositionComponent, fields[ x - 44.5391 y - 36.17359 ] at 632.0048
